id,estado,nota,categoria,alias,pagina,ancora,urlImagem,titulo
tf_citologia_001,pendente,,1_citologia,a11.jpg,citologia.html,a11,/data/histologia/atlas/1_citologia/recorte/histo_1_citologia_a11_recorte.jpg,A1 Raiz de cebola - HF — Intérfase - (a)
tf_citologia_002,pendente,,1_citologia,a12.jpg,citologia.html,a12,/data/histologia/atlas/1_citologia/zoom/histo_1_citologia_a12_zoom.jpg,A1 Raiz de cebola - HF — Prófase - (b)
tf_citologia_003,pendente,,1_citologia,a13.jpg,citologia.html,a13,/data/histologia/atlas/1_citologia/zoom/histo_1_citologia_a13_zoom.jpg,A1 Raiz de cebola - HF — Anáfase - (d)
tf_citologia_004,pendente,,1_citologia,a14.jpg,citologia.html,a11,/data/histologia/atlas/1_citologia/zoom/histo_1_citologia_a14_zoom.jpg,A1 Raiz de cebola - HF — Metáfase - (c)
tf_citologia_005,pendente,,1_citologia,a21.jpg,citologia.html,a21,/data/histologia/atlas/1_citologia/zoom/histo_1_citologia_a21_zoom.jpg,A2 - Sangue Humano - May Grunwald-Giemsa (Romanovsky modificado) — Eritrócitos (hemácias) - (seta)
tf_citologia_006,pendente,,1_citologia,a22.jpg,citologia.html,a22,/data/histologia/atlas/1_citologia/zoom/histo_1_citologia_a22_zoom.jpg,A2 - Sangue Humano - May Grunwald-Giemsa (Romanovsky modificado) — Leucócitos
tf_citologia_007,pendente,,1_citologia,a23.jpg,citologia.html,a21,/data/histologia/atlas/1_citologia/zoom/histo_1_citologia_a23_zoom.jpg,A2 - Sangue Humano - May Grunwald-Giemsa (Romanovsky modificado)
tf_citologia_008,pendente,,1_citologia,a3.jpg,citologia.html,a3,/data/histologia/atlas/1_citologia/zoom/histo_1_citologia_a3_zoom.jpg,A3 - Sangue de Ave - May Grunwald-Giemsa (Romanovsky modificado)
tf_embriologia_001,pendente,,18_embrionario,r1.jpg,embri.html,r1,/data/histologia/atlas/18_embrionario/zoom/histo_18_embrionario_r1_zoom.jpg,R1 - Placenta - HE — (Menor Aumento)
tf_embriologia_002,pendente,,18_embrionario,r1-2.jpg,embri.html,r1-2,/data/histologia/atlas/18_embrionario/zoom/histo_18_embrionario_r1_2_zoom.jpg,R1 - Placenta - HE — (Médio Aumento)
tf_embriologia_003,pendente,,18_embrionario,r1-3.jpg,embri.html,r1,/data/histologia/atlas/18_embrionario/zoom/histo_18_embrionario_r1_3_zoom.jpg,R1 - Placenta - HE — (Maior Aumento)
tf_embriologia_004,pendente,,18_embrionario,r2.jpg,embri.html,r2,/data/histologia/atlas/18_embrionario/zoom/histo_18_embrionario_r2_zoom.jpg,R2 - Cordão umbilical - HE
tf_epitelio_001,pendente,,2_epitelio,b1.jpg,epite.html,img1,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b1_zoom.jpg,B1 - Mesentério (PRATA) — Epitélio nitratado (células pavimentosas)
tf_epitelio_002,pendente,,2_epitelio,b10.jpg,epite.html,b10,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b10_zoom.jpg,B15 - Ovário - HE — Epitélio simples cúbico - (A) ou
tf_epitelio_003,pendente,,2_epitelio,b10-2.jpg,epite.html,b10,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b10_2_zoom.jpg,B15 - Ovário - HE — Epitélio simples pavimentoso - (B)
tf_epitelio_004,pendente,,2_epitelio,b2.jpg,epite.html,img2,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b2_zoom.jpg,B2 - Células descamadas do epitélio oral — Núcleo central - (seta a)
tf_epitelio_005,pendente,,2_epitelio,b3-2.jpg,epite.html,img6,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b3_2_zoom.jpg,"B3 - Pele Espessa, planta do pé - HE — Epitélio estratificado pavimentoso queratinizado - (a)"
tf_epitelio_006,pendente,,2_epitelio,b3-4.jpg,epite.html,img8,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b3_4_zoom.jpg,"B3 - Pele Espessa, planta do pé - HE — Epitélio glandular exócrino (glândula sudorípara) - (c)"
tf_epitelio_007,pendente,,2_epitelio,b3-5.jpg,epite.html,b3-5,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b3_5_zoom.jpg,"B4 - Pele Delgada, pavilhão da orelha - Mallory — Epitélio estratificado pavimentoso queratinizado - (a)"
tf_epitelio_008,pendente,,2_epitelio,b4.jpg,epite.html,b4,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b4_zoom.jpg,B6- Esôfago (corte transversal) - HE — Epitélio estratificado pavimentoso não queratinizado - (a)
tf_epitelio_009,pendente,,2_epitelio,b4-2.jpg,epite.html,img11,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b4_2_zoom.jpg,B5 - Esôfago (corte longitudinal) - HE — Epitélio estratificado pavimentoso não queratinizado - (a)
tf_epitelio_010,pendente,,2_epitelio,b5.jpg,epite.html,b5,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b5_zoom.jpg,B7 - Traquéia - HE — Epitélio pseudo-estratificado cilíndrico ciliado
tf_epitelio_011,pendente,,2_epitelio,b6.jpg,epite.html,b6,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b6_zoom.jpg,"B8 - Estômago (Fundo e corpo) - HE — Epitélio simples cilíndrico (prismático, colunar) - (a)"
tf_epitelio_012,pendente,,2_epitelio,b6-2.jpg,epite.html,b6-2,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b6_2_zoom.jpg,"B10- Jejuno-íleo - HE — Epitélio simples cilíndrico (prismático, colunar) - (a)"
tf_epitelio_013,pendente,,2_epitelio,b6-3.jpg,epite.html,b6-3,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b6_3_zoom.jpg,"B9 - Transição estômago-duodeno - HE — Epitélio simples cilíndrico (prismático, colunar)"
tf_epitelio_014,pendente,,2_epitelio,b7.jpg,epite.html,b7,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b7_zoom.jpg,B12 - Bexiga - HE — Epitélio misto ou polimorfo - (a)
tf_epitelio_015,pendente,,2_epitelio,b7-2.jpg,epite.html,b7-2,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b7_2_zoom.jpg,B11 - Ureter - HE — Epitélio misto ou polimorfo - (a)
tf_epitelio_016,pendente,,2_epitelio,b8-2.jpg,epite.html,b8-2,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b8_2_zoom.jpg,B13 - Parótida - HE — Epitélio glandular exócrino
tf_epitelio_017,pendente,,2_epitelio,b9.jpg,epite.html,b9,/data/histologia/atlas/2_epitelio/zoom/histo_2_epitelio_b9_zoom.jpg,B14- Tireóide - HE — Epitélio glandular endócrino (Epitélio cúbico simples) - (seta a)
tf_pele_001,pendente,,11_pele,k1-1.jpg,pele.html,imgk1-1,/data/histologia/atlas/11_pele/zoom/histo_11_pele_k1_1_zoom.jpg,"K1 - Pele, planta do pé - HE — Epiderme - (epitélio estratificado pavimentoso queratinizado com queratina espessa)"
tf_pele_002,pendente,,11_pele,k1-2.jpg,pele.html,imgk1-2,/data/histologia/atlas/11_pele/zoom/histo_11_pele_k1_2_zoom.jpg,"K1 - Pele, planta do pé - HE — Camadas da epiderme"
tf_pele_003,pendente,,11_pele,k1-3.jpg,pele.html,imgk1-3,/data/histologia/atlas/11_pele/zoom/histo_11_pele_k1_3_zoom.jpg,"K1 - Pele, planta do pé - HE — Derme Reticular - (5)"
tf_pele_004,pendente,,11_pele,k1-4.jpg,pele.html,imgk1-4,/data/histologia/atlas/11_pele/zoom/histo_11_pele_k1_4_zoom.jpg,"K1 - Pele, planta do pé - HE — Glândula sudorípara - (circundado)"
tf_pele_005,pendente,,11_pele,k1-5.jpg,pele.html,imgk1-1,/data/histologia/atlas/11_pele/zoom/histo_11_pele_k1_5_zoom.jpg,"K1 - Pele, planta do pé - HE — Derme Papilar - (seta longa)"
tf_pele_006,pendente,,11_pele,k2-1.jpg,pele.html,k2-1,/data/histologia/atlas/11_pele/zoom/histo_11_pele_k2_1_zoom.jpg,"K2 - Pele, pavilhão da orelha — Epiderme"
